FECHA, HORA, LATITUD, LONGITUD, SATELITES, PRECISION, AGE, TEMPERATURA_BMP, PRESION_BMP, ALTITUD_BMP, CO2, TVOC, HUMEDAD_DHT, TEMPERATURA_DHT, LUZ_TSL, LUZ_UV
26/1/2021, 8:56:58, 43.220585, -2.017578, 5, 211, 908, 9.19, 1016.12, -92.10, 400, 0, 50.60, 11.00, 1635, 9, 
26/1/2021, 8:57:17, 43.220581, -2.017589, 5, 211, 916, 8.62, 1016.19, -92.63, 400, 0, 55.70, 10.10, 2040, 5, 
26/1/2021, 8:57:36, 43.220577, -2.017589, 6, 123, 924, 8.30, 1016.15, -92.35, 400, 0, 60.60, 9.20, 2040, 3, 
26/1/2021, 8:57:55, 43.220600, -2.017601, 6, 123, 43, 8.12, 1016.10, -91.88, 400, 0, 61.90, 8.40, 2040, 7, 
26/1/2021, 8:58:14, 43.220604, -2.017607, 6, 123, 53, 8.09, 1016.09, -91.83, 400, 0, 65.10, 8.10, 2065, 3, 
26/1/2021, 8:58:33, 43.220612, -2.017624, 6, 123, 66, 7.77, 1016.10, -91.91, 400, 0, 66.20, 7.90, 2049, 0, 
26/1/2021, 8:58:52, 43.220600, -2.017628, 6, 123, 76, 7.61, 1016.10, -91.89, 400, 0, 68.80, 7.40, 2074, 4, 
26/1/2021, 8:59:11, 43.220608, -2.017627, 6, 123, 85, 7.35, 1016.14, -92.26, 405, 0, 70.00, 7.30, 2074, 8, 
26/1/2021, 8:59:30, 43.220608, -2.017626, 6, 123, 99, 7.11, 1016.13, -92.13, 400, 0, 71.90, 7.00, 2074, 7, 
26/1/2021, 8:59:49, 43.220612, -2.017623, 6, 124, 112, 7.08, 1016.13, -92.19, 400, 0, 72.00, 6.70, 2090, 5, 
26/1/2021, 9:0:8, 43.220615, -2.017625, 6, 124, 123, 6.84, 1016.17, -92.46, 400, 0, 73.10, 6.40, 2090, 3, 
26/1/2021, 9:0:27, 43.220612, -2.017628, 6, 124, 132, 6.76, 1016.12, -91.92, 403, 0, 74.70, 6.20, 2132, 10, 
