FECHA, HORA, LATITUD, LONGITUD, SATELITES, PRECISION, AGE, TEMPERATURA_BMP, PRESION_BMP, ALTITUD_BMP, CO2, TVOC, HUMEDAD_DHT, TEMPERATURA_DHT, LUZ_TSL, LUZ_UV
26/1/2021, 11:38:8, 43.220589, -2.017580, 10, 112, 112, 11.63, 1015.76, -89.08, 518, 17, 60.30, 13.10, -32202, 1
26/1/2021, 11:38:27, 43.220589, -2.017579, 10, 124, 123, 11.10, 1015.77, -89.19, 492, 14, 58.80, 12.70, 31198, 1
26/1/2021, 11:38:46, 43.220589, -2.017587, 10, 130, 135, 11.10, 1015.80, -89.40, 501, 15, 61.30, 12.10, 31454, 1
26/1/2021, 11:39:5, 43.220589, -2.017599, 9, 130, 145, 11.18, 1015.75, -89.00, 560, 24, 60.10, 11.70, 28703, 0
26/1/2021, 11:39:24, 43.220596, -2.017611, 10, 129, 51, 11.24, 1015.78, -89.26, 553, 23, 60.40, 11.90, 26233, 0
26/1/2021, 11:39:43, 43.220596, -2.017605, 10, 129, 62, 11.27, 1015.81, -89.50, 524, 18, 62.50, 12.00, 25357, 1
26/1/2021, 11:40:2, 43.220589, -2.017613, 10, 133, 66, 11.38, 1015.80, -89.41, 524, 18, 63.60, 11.90, 24175, 0
26/1/2021, 11:40:21, 43.220592, -2.017616, 10, 133, 84, 11.51, 1015.78, -89.28, 534, 20, 64.80, 12.00, 25203, 0
26/1/2021, 11:40:40, 43.220589, -2.017619, 10, 127, 92, 11.54, 1015.79, -89.32, 524, 18, 63.20, 12.00, 24339, 0
26/1/2021, 11:40:59, 43.220589, -2.017604, 9, 132, 109, 11.60, 1015.73, -88.85, 530, 19, 61.60, 12.00, 25447, 0
26/1/2021, 11:41:18, 43.220585, -2.017608, 10, 127, 117, 11.56, 1015.72, -88.76, 518, 17, 62.10, 12.30, 25176, 0
26/1/2021, 11:41:37, 43.220581, -2.017612, 10, 110, 126, 11.65, 1015.75, -89.03, 534, 20, 61.30, 12.50, 24106, 1
26/1/2021, 11:41:56, 43.220585, -2.017615, 10, 110, 136, 11.76, 1015.78, -89.26, 534, 20, 63.50, 12.60, 25462, 1
26/1/2021, 11:42:15, 43.220585, -2.017620, 10, 110, 149, 11.56, 1015.74, -88.95, 518, 17, 61.30, 12.60, 24713, 0
26/1/2021, 11:42:34, 43.220589, -2.017612, 10, 130, 160, 11.36, 1015.82, -89.57, 530, 19, 58.40, 12.50, 24722, 0
26/1/2021, 11:42:53, 43.220585, -2.017609, 10, 125, 170, 11.59, 1015.75, -89.04, 518, 17, 60.30, 12.80, 24610, 1
26/1/2021, 11:43:12, 43.220585, -2.017610, 10, 124, 184, 11.43, 1015.79, -89.35, 470, 10, 61.60, 12.70, 23636, 0
26/1/2021, 11:43:31, 43.220585, -2.017608, 9, 129, 195, 10.99, 1015.83, -89.64, 470, 10, 60.50, 11.80, 23048, 0
26/1/2021, 11:43:50, 43.220600, -2.017602, 10, 110, 205, 10.93, 1015.79, -89.21, 464, 9, 61.70, 11.80, 22434, 0
26/1/2021, 11:44:9, 43.220608, -2.017599, 9, 128, 220, 10.97, 1015.79, -89.31, 470, 10, 61.80, 11.40, 22320, 0
26/1/2021, 11:44:28, 43.220604, -2.017599, 10, 110, 226, 11.05, 1015.77, -88.91, 470, 10, 61.80, 11.30, 22784, 0
26/1/2021, 11:44:47, 43.220596, -2.017611, 9, 127, 239, 11.13, 1015.75, -88.97, 476, 11, 62.90, 11.20, 23198, 0
26/1/2021, 11:45:6, 43.220589, -2.017622, 10, 110, 248, 11.17, 1015.77, -89.18, 480, 12, 63.80, 11.20, 22546, 0
26/1/2021, 11:45:25, 43.220589, -2.017610, 10, 109, 259, 11.20, 1015.80, -89.39, 476, 11, 65.00, 10.90, 22692, 0
26/1/2021, 11:45:44, 43.220592, -2.017612, 10, 110, 271, 10.92, 1015.76, -89.09, 464, 9, 65.50, 10.90, 23473, 1
26/1/2021, 11:46:3, 43.220596, -2.017615, 10, 109, 271, 10.91, 1015.80, -89.43, 482, 12, 63.80, 11.10, 22012, 0
26/1/2021, 11:46:22, 43.220596, -2.017621, 10, 109, 290, 11.01, 1015.78, -89.25, 492, 14, 65.20, 11.20, 22744, 0
26/1/2021, 11:46:41, 43.220592, -2.017616, 10, 108, 302, 11.05, 1015.69, -88.50, 482, 12, 65.70, 11.20, 21244, 0
26/1/2021, 11:47:0, 43.220592, -2.017610, 9, 125, 318, 11.06, 1015.72, -88.77, 486, 13, 66.30, 11.00, 21748, 0
26/1/2021, 11:47:19, 43.220592, -2.017600, 10, 125, 329, 10.97, 1015.71, -88.70, 486, 13, 66.70, 10.90, 22449, 0
26/1/2021, 11:47:38, 43.220600, -2.017602, 9, 119, 340, 11.04, 1015.69, -88.52, 470, 10, 65.50, 10.90, 23446, 0
26/1/2021, 11:47:57, 43.220600, -2.017596, 9, 119, 350, 10.89, 1015.77, -89.13, 464, 9, 67.10, 10.70, 24128, 0
26/1/2021, 11:48:16, 43.220596, -2.017593, 9, 124, 361, 10.89, 1015.74, -88.95, 470, 10, 66.10, 10.50, 22331, 0
26/1/2021, 11:48:35, 43.220592, -2.017595, 9, 123, 369, 10.89, 1015.72, -88.73, 480, 12, 66.90, 10.50, 21902, 0
26/1/2021, 11:48:54, 43.220592, -2.017597, 9, 123, 380, 10.89, 1015.75, -89.03, 480, 12, 70.10, 10.40, 21704, 0
26/1/2021, 11:49:13, 43.220592, -2.017602, 9, 123, 395, 10.87, 1015.73, -88.87, 492, 14, 69.40, 10.30, 21544, 0
26/1/2021, 11:49:32, 43.220589, -2.017595, 9, 122, 405, 10.90, 1015.78, -89.27, 497, 14, 68.90, 10.60, 21617, 0
26/1/2021, 11:49:51, 43.220589, -2.017600, 9, 122, 409, 11.06, 1015.76, -89.13, 497, 14, 67.60, 10.90, 21586, 0
26/1/2021, 11:50:10, 43.220585, -2.017603, 9, 122, 428, 11.10, 1015.74, -88.92, 492, 14, 69.30, 10.90, 20780, 1
