FECHA, HORA, LATITUD, LONGITUD, SATELITES, PRECISION, AGE, TEMPERATURA_BMP, PRESION_BMP, ALTITUD_BMP, CO2, TVOC, HUMEDAD_DHT, TEMPERATURA_DHT, LUZ_TSL, LUZ_UV
25/1/2021, 10:4:10, ---, ---, ---, ---, ---, 21.72, 1002.96, 18.02, 405, 0, 51.00, 20.80, 629, 1, 
25/1/2021, 10:4:29, ---, ---, ---, ---, ---, 21.67, 1002.99, 17.73, 400, 0, 52.50, 20.80, 662, 4, 
25/1/2021, 10:4:48, 43.220806, -2.019089, 4, 282, 469, 21.63, 1002.99, 17.75, 407, 1, 52.00, 20.80, 662, 0, 
25/1/2021, 10:5:7, 43.220856, -2.019118, 4, 412, 485, 21.60, 1003.02, 17.46, 400, 0, 51.30, 20.90, 662, 0, 
25/1/2021, 10:5:26, 43.220779, -2.019208, 4, 281, 494, 21.52, 1003.02, 17.46, 400, 0, 51.10, 20.80, 645, 0, 
25/1/2021, 10:5:45, 43.220718, -2.019372, 3, 413, 510, 21.52, 1003.05, 17.21, 409, 1, 51.00, 20.90, 654, 0, 
25/1/2021, 10:6:4, 43.220688, -2.019278, 4, 281, 519, 21.52, 1003.03, 17.38, 409, 1, 50.80, 20.90, 638, 6, 
25/1/2021, 10:6:23, 43.220657, -2.019253, 4, 281, 530, 21.53, 1003.08, 16.94, 400, 0, 50.70, 20.90, 621, 4, 
25/1/2021, 10:6:42, 43.220638, -2.019267, 4, 280, 541, 21.52, 1003.06, 17.17, 403, 0, 50.90, 20.90, 631, 4, 
25/1/2021, 10:7:1, 43.220703, -2.019232, 4, 280, 556, 21.55, 1003.05, 17.21, 400, 0, 51.10, 21.00, 598, 1, 
25/1/2021, 10:7:20, 43.220779, -2.019247, 4, 280, 568, 21.56, 1003.04, 17.29, 405, 0, 51.00, 21.00, 607, 6, 
25/1/2021, 10:7:39, 43.220779, -2.019276, 4, 279, 585, 21.58, 1003.08, 16.99, 400, 0, 50.80, 21.00, 590, 5, 
25/1/2021, 10:7:58, 43.220600, -2.019184, 5, 279, 588, 21.59, 1003.03, 17.39, 407, 1, 50.80, 21.00, 583, 1, 
