FECHA, HORA, LATITUD, LONGITUD, SATELITES, PRECISION, AGE, TEMPERATURA_BMP, PRESION_BMP, ALTITUD_BMP, CO2, TVOC, HUMEDAD_DHT, TEMPERATURA_DHT, LUZ_TSL, LUZ_UV
21/1/2021, 9:42:42, 43.220577, -2.017653, 6, 151, 822, 16.26, 998.93, 51.88, 400, 0, 45.40, 17.30, 5622, 8, 
21/1/2021, 9:43:1, 43.220585, -2.017658, 6, 152, 821, 16.21, 998.78, 53.14, 403, 0, 48.90, 16.50, 4681, 7, 
21/1/2021, 9:43:20, 43.220600, -2.017731, 5, 161, 830, 16.01, 999.17, 49.89, 415, 2, 49.70, 16.30, 2572, 11, 
FECHA, HORA, LATITUD, LONGITUD, SATELITES, PRECISION, AGE, TEMPERATURA_BMP, PRESION_BMP, ALTITUD_BMP, CO2, TVOC, HUMEDAD_DHT, TEMPERATURA_DHT, LUZ_TSL, LUZ_UV
21/1/2021, 9:43:53, 43.220760, -2.018069, 6, 162, 320, 15.89, 999.11, 50.38, 400, 0, 49.60, 16.30, 3041, 11, 
21/1/2021, 9:44:12, 43.220856, -2.018388, 7, 151, 330, 15.88, 999.14, 50.12, 400, 0, 51.90, 16.20, 3520, 10, 
21/1/2021, 9:44:31, 43.220669, -2.017963, 7, 141, 340, 15.83, 999.16, 49.95, 403, 0, 51.70, 16.20, 3664, 9, 
21/1/2021, 9:44:50, 43.220573, -2.017721, 7, 141, 353, 15.88, 999.12, 50.32, 403, 0, 51.50, 16.20, 3640, 8, 
21/1/2021, 9:45:9, 43.220531, -2.017615, 7, 142, 361, 15.87, 999.17, 49.85, 415, 2, 51.50, 16.20, 3651, 2, 
21/1/2021, 9:45:28, 43.220524, -2.017601, 7, 142, 390, 15.87, 999.14, 50.11, 410, 1, 51.70, 16.10, 3694, 4, 
21/1/2021, 9:45:47, 43.220509, -2.017556, 6, 153, 404, 15.56, 999.10, 50.45, 405, 0, 51.70, 16.10, 3713, 3, 
21/1/2021, 9:46:6, 43.220539, -2.017605, 6, 153, 420, 15.50, 999.15, 50.03, 414, 2, 52.40, 16.00, 3737, 8, 
21/1/2021, 9:46:25, 43.220566, -2.017689, 7, 143, 414, 15.58, 999.11, 50.40, 408, 1, 52.50, 16.00, 3726, 8, 
21/1/2021, 9:46:44, 43.220573, -2.017682, 5, 298, 448, 15.58, 999.09, 50.55, 409, 1, 52.40, 15.90, 3726, 7, 
21/1/2021, 9:47:3, 43.220608, -2.017823, 5, 297, 450, 15.61, 999.12, 50.31, 406, 0, 52.70, 15.90, 3719, 11, 
21/1/2021, 9:47:22, 43.220608, -2.017821, 7, 144, 464, 15.62, 999.10, 50.52, 409, 1, 52.40, 15.80, 3706, 5, 
21/1/2021, 9:47:41, 43.220600, -2.017784, 7, 144, 479, 15.60, 999.05, 50.94, 409, 1, 52.40, 15.80, 3713, 3, 
21/1/2021, 9:48:0, 43.220619, -2.017833, 7, 155, 495, 15.61, 999.07, 50.74, 413, 1, 52.70, 15.80, 3719, 4, 
21/1/2021, 9:48:19, 43.220623, -2.017835, 7, 145, 505, 15.55, 999.11, 50.39, 408, 1, 52.70, 15.80, 3726, 5, 
21/1/2021, 9:48:38, 43.220615, -2.017835, 7, 145, 517, 15.59, 999.11, 50.42, 414, 2, 52.90, 15.80, 3732, 5, 
21/1/2021, 9:48:57, 43.220623, -2.017883, 7, 145, 519, 15.62, 999.10, 50.49, 442, 6, 52.70, 15.70, 3768, 5, 
21/1/2021, 9:49:16, 43.220631, -2.017920, 6, 157, 545, 15.59, 999.08, 50.68, 408, 1, 52.80, 15.70, 3787, 10, 
21/1/2021, 9:49:35, 43.220619, -2.017877, 7, 146, 557, 15.60, 999.05, 50.87, 408, 1, 53.10, 15.80, 3805, 8, 
21/1/2021, 9:49:54, 43.220608, -2.017817, 7, 146, 569, 15.54, 999.07, 50.76, 402, 0, 52.90, 15.80, 3812, 10, 
21/1/2021, 9:50:13, 43.220604, -2.017806, 6, 158, 583, 15.49, 999.06, 50.79, 402, 0, 53.10, 15.70, 3818, 4, 
21/1/2021, 9:50:32, 43.220596, -2.017792, 7, 147, 596, 15.49, 999.06, 50.82, 420, 3, 53.20, 15.70, 3836, 6, 
21/1/2021, 9:50:51, 43.220581, -2.017741, 6, 158, 594, 15.51, 999.08, 50.67, 420, 3, 53.30, 15.60, 3831, 8, 
21/1/2021, 9:51:10, 43.220573, -2.017705, 7, 147, 615, 15.54, 999.12, 50.32, 410, 1, 53.10, 15.60, 3855, 7, 
21/1/2021, 9:51:29, 43.220654, -2.017954, 5, 281, 622, 15.47, 999.04, 51.02, 405, 0, 53.10, 15.60, 3868, 10, 
21/1/2021, 9:51:48, 43.220802, -2.018522, 5, 185, 633, 15.37, 999.02, 51.19, 405, 0, 53.30, 15.60, 3910, 7, 
21/1/2021, 9:52:7, 43.220932, -2.018986, 5, 258, 663, 15.35, 998.92, 51.99, 400, 0, 53.80, 15.50, 3917, 5, 
21/1/2021, 9:52:26, 43.220821, -2.018630, 7, 148, 657, 15.40, 999.11, 50.43, 417, 2, 54.00, 15.50, 3923, 8, 
21/1/2021, 9:52:45, 43.220707, -2.018222, 7, 153, 669, 15.40, 999.12, 50.34, 414, 2, 53.90, 15.50, 3930, 8, 
21/1/2021, 9:53:4, 43.220631, -2.017936, 7, 149, 679, 15.45, 999.18, 49.83, 428, 4, 54.10, 15.50, 3948, 6, 
21/1/2021, 9:53:23, 43.220577, -2.017741, 7, 149, 691, 15.35, 999.09, 50.57, 417, 2, 54.00, 15.50, 3936, 4, 
21/1/2021, 9:53:42, 43.220554, -2.017662, 7, 149, 716, 15.38, 999.02, 51.17, 417, 2, 54.30, 15.40, 3954, 8, 
21/1/2021, 9:54:1, 43.220520, -2.017545, 7, 150, 718, 15.38, 999.01, 51.21, 414, 2, 54.20, 15.40, 3960, 7, 
21/1/2021, 9:54:20, 43.220490, -2.017450, 7, 150, 743, 15.44, 999.01, 51.23, 400, 0, 54.20, 15.40, 3978, 7, 
21/1/2021, 9:54:39, 43.220482, -2.017407, 7, 150, 754, 15.48, 999.09, 50.56, 413, 1, 53.80, 15.40, 4003, 4, 
21/1/2021, 9:54:58, 43.220432, -2.017252, 5, 270, 773, 15.45, 999.15, 50.09, 408, 1, 53.80, 15.40, 3998, 8, 
21/1/2021, 9:55:17, 43.220444, -2.017285, 6, 163, 783, 15.43, 999.10, 50.49, 400, 0, 54.00, 15.40, 4022, 6, 
21/1/2021, 9:55:36, 43.220451, -2.017336, 7, 151, 791, 15.45, 999.22, 49.48, 400, 0, 54.10, 15.40, 4028, 7, 
21/1/2021, 9:55:55, 43.220486, -2.017444, 6, 163, 806, 15.49, 999.12, 50.33, 415, 2, 54.20, 15.40, 4032, 6, 
21/1/2021, 9:56:14, 43.220512, -2.017533, 6, 163, 821, 15.48, 999.12, 50.28, 415, 2, 54.10, 15.40, 4043, 3, 
21/1/2021, 9:56:33, 43.220535, -2.017612, 7, 152, 814, 15.43, 999.03, 51.05, 413, 1, 54.30, 15.40, 4085, 5, 
21/1/2021, 9:56:52, 43.220554, -2.017636, 6, 164, 831, 15.54, 999.04, 50.99, 415, 2, 54.30, 15.30, 4124, 8, 
21/1/2021, 9:57:11, 43.220592, -2.017760, 7, 152, 856, 15.59, 999.07, 50.77, 423, 3, 54.00, 15.30, 4114, 13, 
21/1/2021, 9:57:30, 43.220608, -2.017836, 8, 158, 866, 15.55, 999.10, 50.45, 413, 1, 53.90, 15.40, 4127, 7, 
21/1/2021, 9:57:49, 43.220619, -2.017910, 8, 158, 875, 15.56, 999.15, 50.08, 423, 3, 53.90, 15.40, 4134, 11, 
21/1/2021, 9:58:9, 43.220615, -2.017904, 7, 158, 891, 15.57, 999.17, 49.92, 423, 3, 54.00, 15.40, 4140, 8, 
21/1/2021, 9:58:28, 43.220619, -2.017925, 6, 231, 906, 15.51, 999.17, 49.86, 406, 0, 53.80, 15.40, 4158, 8, 
21/1/2021, 9:58:47, 43.220612, -2.017879, 8, 158, 901, 15.56, 999.13, 50.24, 406, 0, 54.10, 15.40, 4176, 7, 
21/1/2021, 9:59:6, 43.220604, -2.017813, 8, 158, 913, 15.57, 999.17, 49.90, 413, 1, 53.80, 15.40, 4200, 11, 
21/1/2021, 9:59:25, 43.220600, -2.017789, 6, 228, 48, 15.52, 999.12, 50.31, 406, 0, 53.80, 15.40, 4189, 12, 
21/1/2021, 9:59:44, 43.220577, -2.017728, 7, 158, 59, 15.54, 999.08, 50.66, 400, 0, 54.10, 15.40, 4224, 7, 
21/1/2021, 10:0:3, 43.220554, -2.017672, 7, 158, 67, 15.57, 999.21, 49.53, 405, 0, 53.80, 15.40, 4249, 6, 
21/1/2021, 10:0:22, 43.220566, -2.017716, 7, 158, 78, 15.58, 999.18, 49.85, 408, 1, 53.90, 15.50, 4262, 3, 
21/1/2021, 10:0:41, 43.220570, -2.017734, 8, 144, 87, 15.59, 999.06, 50.86, 403, 0, 53.80, 15.50, 4275, 7, 
21/1/2021, 10:1:0, 43.220581, -2.017760, 8, 144, 105, 15.60, 999.03, 51.05, 408, 1, 53.80, 15.50, 4305, 12, 
21/1/2021, 10:1:19, 43.220619, -2.017934, 7, 158, 116, 15.55, 999.00, 51.34, 400, 0, 53.70, 15.50, 4330, 12, 
21/1/2021, 10:1:38, 43.220604, -2.017863, 7, 164, 124, 15.50, 998.99, 51.44, 403, 0, 53.80, 15.40, 4372, 7, 
21/1/2021, 10:1:57, 43.220646, -2.017922, 7, 158, 144, 15.47, 998.92, 52.03, 400, 0, 54.10, 15.40, 4367, 7, 
21/1/2021, 10:2:16, 43.220638, -2.017941, 6, 195, 159, 15.51, 999.10, 50.48, 415, 2, 54.20, 15.40, 4409, 7, 
21/1/2021, 10:2:35, 43.220577, -2.017660, 8, 144, 53, 15.52, 999.05, 50.88, 420, 3, 54.30, 15.40, 4440, 7, 
21/1/2021, 10:2:54, 43.220509, -2.017394, 6, 197, 61, 15.57, 999.06, 50.79, 425, 3, 54.40, 15.40, 4453, 12, 
