FECHA, HORA, LATITUD, LONGITUD, SATELITES, PRECISION, AGE, TEMPERATURA_BMP, PRESION_BMP, ALTITUD_BMP, CO2, TVOC, HUMEDAD_DHT, TEMPERATURA_DHT, LUZ_TSL, LUZ_UV
21/1/2021, 11:20:28, 43.220558, -2.017537, 7, 217, 916, 16.97, 998.86, 52.49, 480, 12, 49.70, 16.70, 21523, 39, 
21/1/2021, 11:20:47, 43.220558, -2.017553, 6, 217, 928, 16.86, 998.76, 53.35, 473, 11, 49.60, 16.60, 21325, 39, 
21/1/2021, 11:21:6, 43.220566, -2.017553, 7, 216, 49, 16.84, 998.67, 54.08, 455, 8, 49.50, 16.80, 21076, 40, 
21/1/2021, 11:21:25, 43.220566, -2.017541, 7, 216, 56, 16.97, 998.70, 53.84, 447, 7, 49.00, 16.60, 21046, 41, 
21/1/2021, 11:21:44, 43.220554, -2.017539, 7, 216, 71, 16.87, 998.65, 54.26, 457, 8, 49.50, 16.60, 20933, 39, 
21/1/2021, 11:22:3, 43.220551, -2.017555, 7, 216, 84, 17.01, 998.73, 53.63, 452, 7, 49.40, 16.60, 20732, 39, 
21/1/2021, 11:22:22, 43.220547, -2.017560, 7, 216, 97, 16.85, 998.49, 55.67, 452, 7, 49.40, 16.60, 20836, 44, 
21/1/2021, 11:22:41, 43.220539, -2.017557, 6, 215, 108, 16.99, 998.52, 55.38, 466, 10, 49.30, 16.60, 20996, 44, 
21/1/2021, 11:23:0, 43.220535, -2.017557, 6, 215, 120, 16.93, 998.75, 53.45, 455, 8, 49.00, 16.60, 21010, 41, 
21/1/2021, 11:23:19, 43.220551, -2.017554, 7, 214, 128, 16.90, 998.80, 52.99, 452, 7, 48.90, 16.50, 20972, 42, 
21/1/2021, 11:23:38, 43.220551, -2.017545, 7, 214, 144, 16.90, 998.74, 53.50, 417, 2, 48.80, 16.70, 21003, 37, 
21/1/2021, 11:23:57, 43.220547, -2.017544, 7, 213, 49, 16.93, 998.66, 54.23, 466, 10, 48.90, 16.70, 21051, 39, 
21/1/2021, 11:24:16, 43.220547, -2.017544, 7, 213, 61, 16.98, 998.65, 54.28, 466, 10, 48.70, 16.70, 20882, 38, 
21/1/2021, 11:24:35, 43.220554, -2.017540, 7, 212, 75, 17.13, 998.89, 52.27, 480, 12, 48.60, 16.70, 20787, 40, 
21/1/2021, 11:24:54, 43.220551, -2.017537, 7, 154, 86, 17.03, 998.76, 53.32, 444, 6, 48.70, 16.70, 20160, 39, 
21/1/2021, 11:25:13, 43.220554, -2.017536, 7, 155, 93, 17.09, 998.55, 55.10, 462, 9, 48.60, 16.60, 20319, 33, 
21/1/2021, 11:25:32, 43.220554, -2.017526, 7, 211, 109, 17.03, 998.57, 54.93, 473, 11, 48.70, 16.70, 20695, 37, 
21/1/2021, 11:25:51, 43.220554, -2.017526, 7, 136, 121, 17.05, 998.72, 53.67, 480, 12, 48.80, 16.80, 20942, 40, 
21/1/2021, 11:26:10, 43.220573, -2.017546, 8, 136, 128, 17.11, 998.63, 54.47, 473, 11, 48.60, 16.80, 20893, 41, 
21/1/2021, 11:26:29, 43.220570, -2.017540, 8, 136, 142, 16.95, 998.77, 53.28, 500, 15, 48.60, 16.90, 17344, 42, 
21/1/2021, 11:26:48, 43.220566, -2.017543, 8, 137, 155, 16.98, 998.59, 54.79, 503, 15, 48.80, 16.80, 17399, 46, 
21/1/2021, 11:27:7, 43.220558, -2.017550, 8, 137, 165, 16.97, 998.68, 53.99, 488, 13, 48.80, 16.80, 17375, 39, 
21/1/2021, 11:27:26, 43.220573, -2.017529, 7, 137, 180, 16.99, 998.54, 55.18, 514, 17, 48.90, 16.70, 17429, 46, 
21/1/2021, 11:27:45, 43.220573, -2.017541, 8, 138, 191, 17.15, 998.61, 54.61, 536, 20, 48.60, 16.70, 17473, 40, 
