27/1/2021, 10:16:0, 43.220852, -2.018640, 9, 124, 85, 21.11, 1017.16, -100.72, 537, 20, 56.90, 21.50, 1014, 0
27/1/2021, 10:16:19, 43.220844, -2.018660, 9, 113, 93, 21.11, 1017.15, -100.64, 529, 19, 57.20, 21.50, 973, 0
27/1/2021, 10:16:38, 43.220879, -2.018723, 9, 97, 104, 21.12, 1017.15, -100.65, 545, 22, 57.20, 21.50, 950, 0
27/1/2021, 10:16:57, 43.220894, -2.018755, 9, 97, 125, 21.14, 1017.23, -101.29, 551, 23, 57.00, 21.50, 959, 0
27/1/2021, 10:17:16, 43.220943, -2.018791, 9, 91, 138, 21.14, 1017.23, -101.29, 554, 23, 56.90, 21.40, 950, 0
27/1/2021, 10:17:35, 43.220959, -2.018739, 9, 90, 150, 21.14, 1017.24, -101.44, 533, 20, 56.70, 21.50, 999, 0
27/1/2021, 10:17:54, 43.220947, -2.018676, 8, 114, 165, 21.13, 1017.26, -101.58, 486, 13, 56.90, 21.50, 1014, 0
27/1/2021, 10:18:13, 43.220928, -2.018636, 9, 134, 180, 21.11, 1017.25, -101.52, 518, 17, 57.30, 21.60, 1021, 0
27/1/2021, 10:18:32, 43.220913, -2.018580, 9, 114, 191, 21.14, 1017.28, -101.75, 485, 12, 56.80, 21.50, 1054, 0
27/1/2021, 10:18:51, 43.220913, -2.018574, 9, 95, 206, 21.14, 1017.26, -101.57, 497, 14, 56.80, 21.50, 1078, 0
27/1/2021, 10:19:10, 43.220898, -2.018564, 9, 115, 218, 21.13, 1017.22, -101.25, 545, 22, 56.40, 21.50, 1085, 0
27/1/2021, 10:19:29, 43.220863, -2.018543, 9, 115, 233, 21.09, 1017.24, -101.38, 473, 11, 56.50, 21.50, 1061, 0
27/1/2021, 10:19:48, 43.220856, -2.018580, 9, 115, 246, 21.09, 1017.23, -101.28, 493, 14, 57.00, 21.50, 1028, 0
27/1/2021, 10:20:7, 43.220882, -2.018687, 8, 120, 259, 21.09, 1017.27, -101.62, 454, 8, 57.10, 21.60, 1052, 0
27/1/2021, 10:20:27, 43.221035, -2.018959, 9, 115, 272, 21.12, 1017.31, -101.95, 501, 15, 57.30, 21.60, 1076, 0
27/1/2021, 10:20:46, 43.221001, -2.018863, 9, 116, 287, 21.15, 1017.33, -102.11, 505, 15, 57.10, 21.60, 1069, 0
27/1/2021, 10:21:5, 43.220966, -2.018767, 9, 97, 298, 21.17, 1017.31, -101.96, 505, 15, 57.00, 21.60, 1045, 0
27/1/2021, 10:21:24, 43.220959, -2.018662, 9, 116, 312, 21.18, 1017.27, -101.65, 529, 19, 57.00, 21.60, 1045, 0
27/1/2021, 10:21:43, 43.220951, -2.018683, 9, 138, 329, 21.18, 1017.31, -101.95, 518, 17, 56.80, 21.60, 1061, 0
27/1/2021, 10:22:2, 43.220955, -2.018648, 8, 138, 343, 21.17, 1017.34, -102.22, 518, 17, 56.80, 21.60, 1061, 0
